"routeno","route_name","route_address","Starting","Destination","TotalStops","TravelTime","Distance","FirstBusFromStartingPoint","LastBusFromStartingPoint","FirstBusFromFromDestination","LastBusFromDestination"
"373-ltd","Mahul Village to Vaishali Nagar Mulund Route Map","https://www.mumbai77.com/bus-routes/bus-no-373-ltd","Mahul Village","Vaishali Nagar Mulund","53","1 Hour 52 Minutes","27.7","07:00","23:00","05:55","23:00"
"374-ltd","Anushakti Nagar to Agarkar Chowk Route Map","https://www.mumbai77.com/bus-routes/bus-no-374-ltd","Anushakti Nagar","Agarkar Chowk","42","1 Hour 5 Minutes","20","05:55","20:50","06:15","20:48"
"375-ltd","Shivaji Nagar Depot to Bandra Bus Station West Route Map","https://www.mumbai77.com/bus-routes/bus-no-375-ltd","Shivaji Nagar Depot","Bandra Bus Station West","33","1 Hour 8 Minutes","18.7","06:00","22:30","05:00","23:35"
"376","Shivaji Nagar Depot to Mahim Bus Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-376","Shivaji Nagar Depot","Mahim Bus Station","36","1 Hour 10 Minutes","16.1","06:10","23:10","07:10","22:00"
"377","Kurla Bus Station East to S R A Colony Mankhurd Route Map","https://www.mumbai77.com/bus-routes/bus-no-377","Kurla Bus Station East","S R A Colony Mankhurd","16","23 Minutes","7.1","06:00","21:40","06:30","22:15"
"378","Trombay to Mankhurd Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-378","Trombay","Mankhurd Station","8","53 Minutes","2.9","06:15","21:56","06:25","10:30"
"379","Shivaji Nagar Terminus to Ghatkopar Station East Route Map","https://www.mumbai77.com/bus-routes/bus-no-379","Shivaji Nagar Terminus","Ghatkopar Station East","15","43 Minutes","6.4","06:00","23:05","06:30","23:35"
"38","Bandra Bus Station West to Malad Bus Depot Route Map","https://www.mumbai77.com/bus-routes/bus-no-38","Bandra Bus Station West","Malad Bus Depot","44","33 Minutes","NA","Time Not Available","Time Not Available","Time Not Available","Time Not Available"
"380","Trombay to Amrut Nagar Route Map","https://www.mumbai77.com/bus-routes/bus-no-380","Trombay","Amrut Nagar","47","1 Hour 16 Minutes","18.6","06:00","21:40","06:00","22:40"
"381","Ghatkopar Depot Caseurina to Tata Power Station Route Map","https://www.mumbai77.com/bus-routes/bus-no-381","Ghatkopar Depot Caseurina","Tata Power Station","30","55 Minutes","12.7","05:10","22:30","05:50","23:18"
